species,n,groups,feature,model,mae
Greater flamingo,4,3,occ_per_sec_hi,loglog,33.77189158779085
Greater flamingo,4,3,occupancy,scale,34.15342954147169
Greater flamingo,4,3,occ_per_sec_hi,scale,36.578638800189744
Greater flamingo,4,3,occ_per_sec,scale,45.318390241478134
Greater flamingo,4,3,occupancy,loglog,46.39860002449379
Greater flamingo,4,3,p_active,loglog,47.65624461177332
Greater flamingo,4,3,p_active,scale,59.83042347078164
Greater flamingo,4,3,rate_hi,scale,67.29357935759272
Greater flamingo,4,3,occ_per_sec,mean,68.33333333333334
Greater flamingo,4,3,occ_per_sec_hi,mean,68.33333333333334
Greater flamingo,4,3,rate,mean,68.33333333333334
Greater flamingo,4,3,rate_hi,mean,68.33333333333334
Greater flamingo,4,3,occupancy,mean,68.33333333333334
Greater flamingo,4,3,p_active,mean,68.33333333333334
Greater flamingo,4,3,per_active_clip,mean,68.33333333333334
Greater flamingo,4,3,per_active_clip,scale,68.33333333333334
Greater flamingo,4,3,per_active_clip,loglog,68.33333333333334
Greater flamingo,4,3,occ_per_sec,loglog,85.26986936506064
Greater flamingo,4,3,rate,scale,87.26087934717006
Greater flamingo,4,3,rate_hi,loglog,91.8051091200092
Greater flamingo,4,3,rate,loglog,105.30423735247479
Hadada ibis,2,2,occ_per_sec,mean,2.0
Hadada ibis,2,2,occ_per_sec,loglog,2.0
Hadada ibis,2,2,occ_per_sec_hi,mean,2.0
Hadada ibis,2,2,occ_per_sec_hi,loglog,2.0
Hadada ibis,2,2,rate,mean,2.0
Hadada ibis,2,2,rate,loglog,2.0
Hadada ibis,2,2,rate_hi,mean,2.0
Hadada ibis,2,2,rate_hi,loglog,2.0
Hadada ibis,2,2,occupancy,mean,2.0
Hadada ibis,2,2,occupancy,loglog,2.0
Hadada ibis,2,2,p_active,mean,2.0
Hadada ibis,2,2,p_active,loglog,2.0
Hadada ibis,2,2,per_active_clip,mean,2.0
Hadada ibis,2,2,per_active_clip,scale,2.0
Hadada ibis,2,2,per_active_clip,loglog,2.0
Hadada ibis,2,2,rate,scale,2.07803390603076
Hadada ibis,2,2,occ_per_sec,scale,2.2892005656990766
Hadada ibis,2,2,p_active,scale,6.751684365354349
Hadada ibis,2,2,occupancy,scale,7.088247708480294
Hadada ibis,2,2,rate_hi,scale,7.5937832849603994
Hadada ibis,2,2,occ_per_sec_hi,scale,7.736409494729495
Red-billed quelea,2,2,rate_hi,scale,25.451677893494995
Red-billed quelea,2,2,occupancy,scale,37.79079266258276
Red-billed quelea,2,2,occ_per_sec,scale,37.790792662582795
Red-billed quelea,2,2,rate,scale,59.26998486567708
Red-billed quelea,2,2,p_active,scale,59.269984865677095
Red-billed quelea,2,2,occ_per_sec_hi,scale,62.81215024102539
Red-billed quelea,2,2,occ_per_sec,mean,92.0
Red-billed quelea,2,2,occ_per_sec,loglog,92.0
Red-billed quelea,2,2,occ_per_sec_hi,mean,92.0
Red-billed quelea,2,2,occ_per_sec_hi,loglog,92.0
Red-billed quelea,2,2,rate,mean,92.0
Red-billed quelea,2,2,rate,loglog,92.0
Red-billed quelea,2,2,rate_hi,mean,92.0
Red-billed quelea,2,2,rate_hi,loglog,92.0
Red-billed quelea,2,2,occupancy,mean,92.0
Red-billed quelea,2,2,occupancy,loglog,92.0
Red-billed quelea,2,2,p_active,mean,92.0
Red-billed quelea,2,2,p_active,loglog,92.0
Red-billed quelea,2,2,per_active_clip,mean,92.0
Red-billed quelea,2,2,per_active_clip,scale,92.0
Red-billed quelea,2,2,per_active_clip,loglog,92.0
