threshold,species,mae,feature,mean_p_active,combined_mae
0.3,Greater flamingo,35.07,occ_per_sec,0.89,19.89
0.3,Hadada ibis,2.0,occ_per_sec,0.039,19.89
0.3,Red-billed quelea,7.43,occ_per_sec,0.515,19.89
0.5,Greater flamingo,31.53,occ_per_sec,0.859,20.0
0.5,Hadada ibis,2.0,occ_per_sec,0.03,20.0
0.5,Red-billed quelea,14.95,occ_per_sec,0.459,20.0
0.7,Greater flamingo,33.49,occ_per_sec,0.824,17.32
0.7,Hadada ibis,2.0,occ_per_sec,0.025,17.32
0.7,Red-billed quelea,0.32,rate,0.419,17.32
0.8,Greater flamingo,34.99,occ_per_sec,0.798,20.33
0.8,Hadada ibis,2.0,occ_per_sec,0.021,20.33
0.8,Red-billed quelea,9.36,rate,0.396,20.33
0.9,Greater flamingo,33.77,occ_per_sec,0.755,23.75
0.9,Hadada ibis,2.0,occ_per_sec,0.018,23.75
0.9,Red-billed quelea,25.45,rate,0.367,23.75
0.95,Greater flamingo,33.68,occ_per_sec,0.716,26.64
0.95,Hadada ibis,2.0,occ_per_sec,0.013,26.64
0.95,Red-billed quelea,37.19,rate,0.348,26.64
0.99,Greater flamingo,38.51,occ_per_sec,0.631,37.03
0.99,Hadada ibis,2.0,occ_per_sec,0.008,37.03
0.99,Red-billed quelea,69.12,rate,0.314,37.03
0.995,Greater flamingo,31.99,occ_per_sec,0.601,37.6
0.995,Hadada ibis,2.0,occ_per_sec,0.007,37.6
0.995,Red-billed quelea,84.4,rate,0.299,37.6
0.999,Greater flamingo,49.79,occ_per_sec,0.543,48.4
0.999,Hadada ibis,2.0,occ_per_sec,0.006,48.4
0.999,Red-billed quelea,92.0,occ_per_sec,0.27,48.4
